case_id,original,corrected
Copy of JUDG__99,"Subsequently, on 27.04.2008 the investigation of the case was entrusted to IPSHO Tariq Nawaz, who prepared memo of disclosure 44148 Ex. JUSTICE SHAUKAT ALI RAKHSHANI JUSTICE SYED MUHAMMAD FAROOQ SHAH Quetta the December, 06 2018 M.Ajmal, Cr.A.No.08Q of 2009. 10","Subsequently, on 27.04.2008 the investigation of the case was entrusted to IPS HO Tariq Nawab, who prepared memo of disclosure 44148 Ex. JUSTICE SHANKAR ALI PAKISTANI JUSTICE SYED MUHAMMAD FAROOQ SHAH Quetta the December, 06 2018 M. Ajmal, Cr. A. No.08Q of 2009. 10"
Copy of JUDG__26,"The learned Additional Prosecutor General, Sindh, supporting the impugned judgments of both the learned Courts below, has contended that no enmity or animosity of the police officials, has been proved by the defence, therefore, per him, the contradictions and discrepancies in the prosecution case may be ignored and, that the...","The learned Additional Prosecutor General, Sindh, supporting the impugned judgments of both the learned Courts below, has contended that no enmity or animosity of the police officials, has been proved by the defense, therefore, per him, the contradictions and discrepancies in the prosecution case may be ignored and, that the..."
Copy of JUDG__6,"02-K of 2024 as inadmissible, further contended that the prosecution failed to prove the charge. 6. Mushtaq Ahmed Qazi, Additional Prosecutor General, Balochistan vehemently opposed the contentions raised by the learned counsel for the appellants and contended that the prosecution succeeded to prove the case against the appellants through cogent...","02 - K of 2024 as inadmissible, further contended that the prosecution failed to prove the charge. 6. Must Ahmed Nazi, Additional Prosecutor General, Balochistan vehemently opposed the contentions raised by the learned counsel for the appellants and contended that the prosecution succeeded to prove the case against the appellants through cogent..."
Copy of JUDG__7222,"The prosecution in all exumincd viyht witnesses. , ae wey ma i oy wa ound nda Ue ea, ca 14 18s ext, of his, personel ingpeee suopel not DepED us sychy Neither in hig ig io i Wp iy ESE ss ey it H ho ait inination under .342, Criminal,...","The prosecution in all examined light witnesses. Eye was ma i Obi - Wan found NDA UE Ea, ca 14 18s ext, of his, personal indeed super not Depend us such Neither in hi gig Io i WP in ESE ss a it H ho ait animation under.342, Criminal,..."
Copy of JUDG__98,"To act upon circumstantial evidence, the benchmark by the apex Court in the cases of IMRAN ALIAS DULLY AND ANOTHER VS. SHAUKAT ALI RAKHSHANI JUDGE DR. FIDA MUHAMMAD KHAN JUDGE Islamabad, the Dated 25 of October, 2019 khurram","To act upon circumstantial evidence, the benchmark by the apex Court in the cases of IMRAN ALIAS DULLY AND ANOTHER VS. SHANKAR ALI PAKISTANI JUDGE DR. FIDA MUHAMMAD KHAN JUDGE Islamabad, the Dated 25 of October 2019 hurrah"
Copy of JUDG__94,I did not call any body from my cell phone when we were locked in the washroom. It is correct that I could not identify the accused Muhammad Saleem.,I did not call anybody from my cell phone when we were locked in the washroom. It is correct that I could not identify the accused Muhammad Saleem.
Copy of JUDG__9545,"Zainab Jan, accused. Sadiq Hussain I.H.C PW.8 on 19-9-1981 took Mst.Zainab Jan to D.H.Q.Hospital, Abbottabad for medical examination. We frm Vx Ul meansunersr 4 fey Hon J vi Oh Geaniakend the I AVY 3S Kez Jalel tat Neon suds Mr Benn bt Win","Zainab Jan, accused. Sadiq Hussain I.H.C PW.8 on 19 - 9 - 1981 took MST. Zainab Jan to D.H.Q. Hospital, Abbottabad for medical examination. We FRM VX UL measurers 4 fey Hon J vi Oh Geaniakend the I AVY 3S Key Jael that Neon suds Mr. Bean BT Win"
Copy of JUDG__75,"The gist of prosecution witnesses is given below i PW-1 Abdul Wahab is complainant. They neither opted to make their statement under section 3402 of the Code of Criminal Procedure, 1898 nor produced evidence in their defence. 7. Arguments heard.","The gist of prosecution witnesses is given below i PW-1 Abdul Ahab is complainant. They neither opted to make their statement under section 3402 of the Code of Criminal Procedure, 1898 nor produced evidence in their defense. 7. Arguments heard."
Copy of JUDG__54,"Government of N.W.F.P. Counsel for the petitioner Counsel for the Federal Government Counsel for the Provincial Government ... Date of Institution of Petition Date of Hearing Date of Judgment KKKKK RESPONDENTS Mr. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAI, CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH Dated the 07' February,...","Government of N.W.F.P. Counsel for the petitioner Counsel for the Federal Government Counsel for the Provincial Government... Date of Institution of Petition Date of Hearing Date of Judgment KKKKK RESPONDENTS Mr. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAI, CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH Dated the 07 ' February,..."
Copy of JUDG__85,"The said order dated 18.04.2018 was challenged through Cr. Shakeela Bibi had filed application us 265-K Cr.P.C which was dismissed on 20.05.2017 by the learned A.S.J. West Islamabad. MUHAMMAD NOOR MESKANZAI SYED MUHAMMAD FAROOQ SHAH CHIEF JUSTICE JUDGE Approved for reporting Islamabad February 13th, 2020. Ajmay. of 10","The said order dated 18.04.2018 was challenged through Cr. Shaheena Bibi had filed application us 265 - K Cr. P. C which was dismissed on 20.05.2017 by the learned A.S.J. West Islamabad. MUHAMMAD NOOR MESKANZAI SYED MUHAMMAD FAROOQ SHAH CHIEF JUSTICE JUDGE Approved for reporting Islamabad February 13th, 2020. Ajay. Of 10"
Copy of JUDG__77,Two small circular wounds of entry on left lumber region with no wounds of exit. Time since death about 4-5 hours. JUSTICE KHADIM HUSSAIN M. SHAIKH JUDGE JUSTICE MUHAMMAD NOOR MESKANZAIl CHIEF JUSTICE Khurram,Two small circular wounds of entry on left lumber region with no wounds of exit. Time since death about 4–5 hours. JUSTICE KARIM HUSSAIN M. SHAIKH JUDGE JUSTICE MUHAMMAD NOOR MESKANZAIl CHIEF JUSTICE Hurrah
Copy of JUDG__49,"The relevant sections of Chapter-II are reproduced herein below CHAPTER-II OF PETITIONS Form and Contents of Petition-1 Every petition shalld describe the law which is considered to be repugnant to the Injunctions of Islam e state the number of article, section, clause, paragraph, provision, or provisions of a law which...","The relevant sections of Chapter - II are reproduced herein below CHAPTER - II OF PETITIONS Form and Contents of Petition-1 Every petition shall describe the law which is considered to be repugnant to the Injunctions of Islam e state the number of article, section, clause, paragraph, provision, or provisions of a law which..."
Copy of JUDG__62,"The total number of paragraphs in the First Edition, which were numbered to give the sense that each paragraph contains some principles of Islamic law, was 228 but now it contains 375 paragraphs.","The total number of paragraphs in the First Edition, which were numbered to give the sense that each paragraph contains some principles of Islamic law, was 228, but now it contains 375 paragraphs."
Copy of JUDG__10,"Haneefa and Mst. Haleema. He dispatched the case property to Chemical Examiner laboratory Rohri, vide road certificate through ASI Imdad. JUSTICE AMEER MUHAMMAD KHAN JUDGE JUSTICE IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE Dated, Islamabad the Salman","Handed and MST. Hakeem. He dispatched the case property to Chemical Examiner laboratory Lori, vide road certificate through ASI Dad. JUSTICE AMBER MUHAMMAD KHAN JUDGE JUSTICE IQBAL HAMMER RAHMAN CHIEF JUSTICE Dated, Islamabad the Salman"
Copy of JUDG__91,"Thereafter, Faryad Ali, Sub-Inspector of said police station reached at the place of occurrence, to whom the case property was handed over alongwith other documents, who conducted the investigation after preparation of the site plan.","Thereafter, Farad Ali, Sub - Inspector of said police station reached at the place of occurrence, to whom the case property was handed over along with other documents, who conducted the investigation after preparation of the site plan."
Copy of JUDG__13,"Atta Muhammad, Law Officer, IG Prison KP Mr. The appellant challenged his conviction and sentence before the Lahore High Court, Rawalpindi Bench, Rawalpindi through an appeal, which was dismissed and the petitioner was additionally convicted under Section 302b PPC and sentenced him to death on that score as well. SYED...","Alta Muhammad, Law Officer, IG Prison KP Mr. The appellant challenged his conviction and sentence before the Lahore High Court, Rawalpindi Bench, Rawalpindi through an appeal, which was dismissed, and the petitioner was additionally convicted under Section 302b PPC and sentenced him to death on that score as well. SYED..."
Copy of JUDG__33,Gy Sp ut S5 Ges Ot Us se lly Dib 55 Ue Cee HS O55,Gy SP UT S5 Ge 's OT Us see fly Did 55 UE CEE HS O55
Copy of JUDG__9,"02-k of 2019 occurrence, beside four empties of pistol 30-bore and one live bullet from the place of occurrence, took the same into custody and sealed vide mashirnamas, he also inspected the place of occurrence subjected mater of FIR No. Except the accused Ghulam Sarwar Bhand none else opted for...","02 - k of 2019 occurrence, beside four empties of pistol 30 - bore and one live bullet from the place of occurrence, took the same into custody and sealed vide mashirnamas, he also inspected the place of occurrence subjected mater of FIR No. Except the accused Ghulam Salwar Band none else opted for..."
Copy of JUDG__9366,"Abdul Aziz P.W.5 for taking the same to the officer of the Chemical Examiner,Lahore and the said F.C.Abdul Aziz delievered the same intact there.","Abdul Aziz P.W.5 for taking the same to the officer of the Chemical Examiner, Lahore and the said F.C. Abdul Aziz delivered the same intact there."
Copy of JUDG__29,"Azmat Hayat Khan, who was a civil servant in the Government of Pakistan and died during the tenure of his service as Chief Meteorologist Director in the department of Respondent No.2. 2. In view of the above, the instant Shariat Petition being not maintainable was dismissed in limine vide short...","HAZMAT Hayey Khan, who was a civil servant in the Government of Pakistan and died during the tenure of his service as Chief Meteorologist Director in the department of Respondent No.2. 2. In view of the above, the instant Sharia Petition being not maintainable was dismissed in liming vide short..."
Copy of JUDG__21,Making reference to the site plan it was maintained that one of the injured was shown in the site plan which supports version of prosecution. IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH JUDGE Dated 20.11.2024 Ajmal,Making reference to the site plan it was maintained that one of the injured was shown in the site plan which supports version of prosecution. IQBAL HAMMER RAHMAN CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH JUDGE Dated 20.11.2024 Akmal
Copy of JUDG__9542,"It may also be pointed out that although both the witnesses are supposed to have seen the appellants together at the same time whereas P.W. However , in his cross examination the witness had wntada that. Mst.","It may also be pointed out that although both the witnesses are supposed to have seen the appellants together at the same time whereas P.W. However, in his cross - examination the witness had Nada that. MST."
Copy of JUDG__92,"The appeal preferred against the said judgment was also dismissed hence the captioned Revision Petition has been filed to set aside the concurrent findings of learned lower courts on facts and grounds averred therein. 8. Mr. He is on bail, his bail bonds stand discharged and the surety is absolved...","The appeal preferred against the said judgment was also dismissed hence the captioned Revision Petition has been filed to set aside the concurrent findings of learned lower courts on facts and grounds averred therein. 8. Mr. He is on bail, his bail bonds stand discharged, and the surety is absolved..."
Copy of JUDG__105,"Appeal No.28I of 2018 Cr. Aamur Sabir, learned counsel appearing on behalf of appellant Zain ul Abideen alias Zain inter-alia contended that the occurrence has not been witnessed by anyone and the entire case 1s based on circumstantial evidence in the form of confessional statement of appellants Zain ul Abideen...","Appeal No.28I of 2018 Cr. Amur Saber, learned counsel appearing on behalf of appellant Zain UL Abideen alias Zain intervalic contended that the occurrence has not been witnessed by anyone and the entire case 1s based on circumstantial evidence in the form of confessional statement of appellants Zain UL Abideen..."
Copy of JUDG__73,"MUHAMMAD IRFAN KHAN DATE OF INSTITUTION iso Sd.12 2020 OF PETITION DATE OF HEARING ... 02.06 2021 DATE OF ORDER 25,10,2021 Shartat Petition No 02I of 2021 ORDER DR. Pre-trial proceedings - 1 When the written statement is filed, the Court shall fix an early date for a pre-trial hearing...","MUHAMMAD IRAN KHAN DATE OF INSTITUTION ISO SD.12 2020 OF PETITION DATE OF HEARING... 02.06 2021 DATE OF ORDER 25,10, 2021 Sparta Petition No 02I of 2021 ORDER DR. Pre - trial proceedings - 1 When the written statement is filed, the Court shall fix an early date for a pre - trial hearing..."
Copy of JUDG__20,"The complaint was adjudicated upon by the Additional Sessions Judge, Kandiaro and dismissed the same vide impugned order dated 24.02.2022.","The complaint was adjudicated upon by the Additional Sessions Judge, Landmark and dismissed the same vide impugned order dated 24.02.2022."
Copy of JUDG__60,"PW.3, in his examination in chief, stated that two empties shells were collected from the venue but in crossexamination admitted that Jt is correct to suggest that police officer did not recover empty bullets from place of incident in my presence. The delay in the FIR does not affect the...","PW.3, in his examination in chief, stated that two empties shells were collected from the venue but in cross - examination admitted that JT is correct to suggest that police officer did not recover empty bullets from place of incident in my presence. The delay in the FIR does not affect the..."
Copy of JUDG__15,"SYED MUHAMMAD ANWER, JUDGE JUSTICE AMEER MUHAMMAD KHAN, JUDGE SHARIAT PETITION NO.01-I OF 2024 Fayyaz Ali Khan son of Hakeem Dad Khan, Ro Al Fayyaz Pak International, House No.18, Main Bazar Karamat Colony, Wahdat Road, Lahore. SYED MUHAMMAD ANWER JUDGE AMEER MUHAMMAD KHAN JUDGE Dated23.04.2024 Ajmal Approved for Reporting","SYED MUHAMMAD ANSWER, JUDGE JUSTICE AMBER MUHAMMAD KHAN, JUDGE SHARIA PETITION NO.01 - I OF 2024 Ayaz Ali Khan son of Hakeem Dad Khan, RO Al Ayaz PAK International, House No.18, Main Bazaar Kara mat Colony, What Road, Lahore. SYED MUHAMMAD ANSWER JUDGE AMBER MUHAMMAD KHAN JUDGE Dated23.04.2024 Akmal Approved for Reporting"
Copy of JUDG__39,Chu i cob y mS Rishe ba 45 Siege Me 7 wisp ig eS Ole NESS Las SL oA Ste a Val ex IS Siz She J SF wee a8 ltl 6 Cou OF 62 SSS Si bie UPS IM Pe Suz GZ Gedl VislFLb We SCS Suz Set Cue...,Chu i cob y ms Rise BA 45 Siege Me 7 wisp IG ES Ole NESS Las SL a Ste a Val ex IS Six She J SF wee a8 LTL 6 COU OF 62 SSS Si BIE UPS I 'm Pe Sub GO Gel Visible We SCS Sub Set Cue...
Copy of JUDG__43,"To prove its case, the prosecution examined PW.1 complainant ASI Muhammad Siddique at Ex.3, who produced entry No.8, memo of arrest recovery and FIR at Exs.3A, 3B and 3C respectively PW.2 mashir HC CRIMINAL REVISION NO.02-K OF 2022 Kashif Ali Channa Vs. From a perusal of the record, it would...","To prove its case, the prosecution examined PW.1 complainant ASI Muhammad Kiddie at Ex.3, who produced entry No.8, memo of arrest recovery and FIR at Ex's.3A, 3B and 3C respectively PW.2 masher HC CRIMINAL REVISION NO.02 - K OF 2022 Kashmir Ali Hanna Vs. From a perusal of the record, it would..."
Copy of JUDG__2,"There is nofindings of the learned Civil Court regarding the allegation of Zina or illicit relationship of the complainant with strangers. Making reference to the suit for maintenance by the petitioner in the Family Court, Okara, it was submitted that the learned Family Judge in his order has observed that...","There is no findings of the learned Civil Court regarding the allegation of Zina or illicit relationship of the complainant with strangers. Making reference to the suit for maintenance by the petitioner in the Family Court, Kara, it was submitted that the learned Family Judge in his order has observed that..."
Copy of JUDG__68,"Then the prosecution closed its side vide statement of the learned ADPP at Ex.16. Learned Advocate for appellants has mainly contended that the F.I.R was delayed by 12 days without proper explanation thereof, which is fatal to the prosecution case that there are material contradictions in the evidence led by...","Then the prosecution closed its side vide statement of the learned ADP at Ex.16. Learned Advocate for appellants has mainly contended that the F.I.R was delayed by 12 days without proper explanation thereof, which is fatal to the prosecution case that there are material contradictions in the evidence led by..."
Copy of JUDG__50,"SYED MUHAMMAD ANWER, ACTING CHIEF JUSTICE MR. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE MR. JUSTICE KHADIM HUSSAIN M. SHAIKH Announced in Open Court on 21.11.2022, at Islamabad. Khalid","SYED MUHAMMAD ANSWER, ACTING CHIEF JUSTICE MR. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE MR. JUSTICE KARIM HUSSAIN M. SHAIKH Announced in Open Court on 21.11.2022, at Islamabad. Khalid"
Copy of JUDG__11,"AbidSaeedbaig, Secretary Rtrd, Provincial Quality Control Board, Punjab Respondents Counsel for Petitioners Haji Mushtaq Ahmed Attari, Qadri, Rizvi, Ziyai, Advocate Date of Institution 07.03.2023 Date of Hearing 23.01.2024 Date of Judgment 24.01.2024 UDGMENT IQBAL HAMEEDUR RAHMAN-C.The Petitioners seekacceptance of instant Shariat Miscellaneous Application with prayer to allow them to make...","AbidSaeedbaig, Secretary FTRD, Provincial Quality Control Board, Punjab Respondents Counsel for Petitioners Heidi Must Ahmed Atari, Madrid, Ravi, Sinai, Advocate Date of Institution 07.03.2023 Date of Hearing 23.01.2024 Date of Judgment 24.01.2024 JUDGMENT IQBAL HAMMER RAHMAN - C. The Petitioners seek acceptance of instant Sharia Miscellaneous Application with prayer to allow them to make..."
Copy of JUDG__4,Sassi Hizbullah and respondent Junaid Ahmad Khan were married on 10.01.2020 according to Islamic Sharia. The learned Advocate for the petitioner has mainly contended that the respondent by leveling false allegations of zina against the petitioner in writing and oral in various matters in the Court proceedings and also before...,Sassy Hezbollah and respondent Jun aid Ahmad Khan were married on 10.01.2020 according to Islamic Sharia. The learned Advocate for the petitioner has mainly contended that the respondent by leveling false allegations of zinc against the petitioner in writing and oral in various matters in the Court proceedings and also before...
Copy of JUDG__36,"sua asa Respondents 79 9 99 9 9 8 8 Od 98S For the petitioner .... Nemo Date of receipt of Sh.Petition ..... 27.01.2021 Date of hearing vee 17.12.2021 Date of Judgment wee 13.01.2022 979797 979797979799 9 99 9 8 Shariat Petition No.3I of 2021 JUDGMENT MUHAMMAD NOOR MESKANZAI, C.J---...","SUA ASA Respondents 79 9 99 9 8 OD 98S For the petitioner.... Nemo Date of receipt of Sh. Petition..... 27.01.2021 Date of hearing see 17.12.2021 Date of Judgment wee 13.01.2022 979797 979797979799 9 99 9 8 Sharia Petition No.3I of 2021 JUDGMENT MUHAMMAD NOOR MESKANZAI, C. J---..."
Copy of JUDG__7486,"He any other culprits made confession before -him. Hazrat Umar executed five or seven persons in retaliation of a single person, whom they had killed treacherously. J. the bs Re ABDUL RAHMAN Judge Judge","He any other culprits made confession before -him. HAZMAT Umar executed five or seven persons in retaliation of a single person, whom they had killed treacherously. J. the BS Re ABDUL RAHMAN Judge"
Copy of JUDG__5,"02-k of 2019 occurrence, beside four empties of pistol 30-bore and one live bullet from the place of occurrence, took the same into custody and sealed vide mashirnamas, he also inspected the place of occurrence subjected mater of FIR No. Except the accused Ghulam Sarwar Bhand none else opted for...","02 - k of 2019 occurrence, beside four empties of pistol 30 - bore and one live bullet from the place of occurrence, took the same into custody and sealed vide mashirnamas, he also inspected the place of occurrence subjected mater of FIR No. Except the accused Ghulam Salwar Band none else opted for..."
Copy of JUDG__9697,The commentaries in which the concept of dominion or sovereignty is advanced appear to be based upon the old conceptual trends.,The commentaries in which the concept of dominion or sovereignty is advanced appear to be based upon the old conceptual trends.
Copy of JUDG__80,"The accusedrespondent did not opt to enter the witness box nor proposed to produce any defence witness. Unlike other criminal cases, in Qazf the honour, reputation, respect, social norms and values associated with the victim and her whole family are deeply involved. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAIT CHIEF...","The accused respondent did not opt to enter the witness box nor proposed to produce any defense witness. Unlike other criminal cases, in AZF the honor, reputation, respect, social norms and values associated with the victim and her whole family are deeply involved. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAIT CHIEF..."
Copy of JUDG__12,"THE STATE 2017 SCMR 486, wherein the Hon ble Supreme Court of Pakistan has held that There is a long line of authoritiesprecedents of this Court and the High Courts that even one or two days unexplained delay in recording the statements of eye witnesses would be fatal and testimony...","THE STATE 2017 SCMR 486, wherein the Hon BLE Supreme Court of Pakistan has held that There is a long line of authorities precedents of this Court and the High Courts that even one or two days unexplained delay in recording the statements of eyewitnesses would be fatal and testimony..."
Copy of JUDG__24,But the men have a degree over them in responsibility and authority. This relation is not restricted and limited to sexual relationship only. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE,But the men have a degree over them in responsibility and authority. This relation is not restricted and limited to sexual relationship only. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE
Copy of JUDG__83,Succinct story of the prosecution is that on 25.01.2016 police party headed by Bashir Ahmad S.H.O. JUSTICE SHAUKAT ALI RAKHSHANI JUSTICE SYED MUHAMMAD FAROOQ SHAH JUDGE JUDGE Peshawar the 27 November of 2019 M.Ajmal . of 4,Succinct story of the prosecution is that on 25.01.2016 police party headed by Bashir Ahmad S.H.O. JUSTICE SHANKAR ALI PAKISTANI JUSTICE SYED MUHAMMAD FAROOQ SHAH JUDGE Peshawar the 27 November 2019 M. Ajmal. Of 4
Copy of JUDG__90,"However, deceased had been succeeded to snatch the said pistol from the culprit accused. Another eye witness PW Asif Khan had been abandoned being unnecessary witness through joint statement made by Mr.","However, deceased had been succeeded to snatch the said pistol from the culprit accused. Another eyewitness PW Asif Khan had been abandoned being unnecessary witness through joint statement made by Mr."
Copy of JUDG__95,It is alleged in the F.I.R Exh.PA that the driver of the said Flying Coach claimed the ownership of said narcotics. Submissions made by Mr.,It is alleged in the F.I.R Ex. PA that the driver of the said Flying Coach claimed the ownership of said narcotics. Submissions made by Mr.
Copy of JUDG__8036,"not provide for such a right to concerned department of the Provincial Government or to the Federal Government or its department concerned, It is further submitted that Section. It is also agitated that Section 54 of the sald Act does not provide any right of appeal to the Federal Government...","Not provide for such a right to concerned department of the Provincial Government or to the Federal Government or its department concerned, It is further submitted that Section. It is also agitated that Section 54 of the said Act does not provide any right of appeal to the Federal Government..."
Copy of JUDG__70,Appeal No.9I of 2020 not locked yet despite knocking for a considerable time the same was not opened. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE,Appeal No.9I of 2020 not locked yet despite knocking for a considerable time the same was not opened. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE
Copy of JUDG__46,sun Gs 2S a cob Us Gs -S DJA a Sok oe ub Gs Ge Soe 2016 ai 4I toael Cublowe je Cay yd 2017 4 7I rose GSlane ye Saag yd 2019 ai 4I rose GSlane ye Saag yd 2020 ui 3I posal CuSlawe je Cay yd 11 cS...,Sun Gs 2S a cob Us Gs -S DA a So OE UB Gs Ge SOE 2016 AI 4I towel Cubone JE Cay yd 2017 4 7I rose GS lane ye Sang yd 2019 AI 4I rose GS lane ye Sang yd 2020 UI 3I postal Cuspate JE Cay yd 11 CS...
Copy of JUDG__63,"vide order dated 19.04.2010. 7. Appeal No.05-K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting de-novo proceedings after framing of charge. 8. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR...","Vide order dated 19.04.2010. 7. Appeal No.05 - K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting Lenovo proceedings after framing of charge. 8. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR..."
Copy of JUDG__66,"After completing the investigation, final report under Section 173 of The Code was submitted wherein the name of appellant Muhammad Yousif was placed in Column No.2, finding him innocent. The learned counsel for appellants Ali Khan, Mour and Ahmed Ali alias Fouji adopting the arguments advanced by the Jail Criminal...","After completing the investigation, final report under Section 173 of The Code was submitted wherein the name of appellant Muhammad Yousuf was placed in Column No.2, finding him innocent. The learned counsel for appellants Ali Khan, Four and Ahmed Ali alias Fuji adopting the arguments advanced by the Jail Criminal..."
Copy of JUDG__4998,"About age of appellant Nasreen Akhtar, there is a Part of medical evidence which is, at the first sight, in conflict with the above-mentioned Ex,P.H. It is correct the Radio Grapher took X-ray were not taken in my presence.It is correct that certificate Ex.DWA is based on the report of...","About age of appellant Nasreen Akhtar, there is a Part of medical evidence which is, at the first sight, in conflict with the above - mentioned Ex, P.H. It is correct the Radio Graphed took X - ray were not taken in my presence. It is correct that certificate Ex. DA is based on the report of..."
Copy of JUDG__88,"Mian Qamar Gul Kakakhel, learned counsel representing the appellant argued that on the same set of evidence, five co-accused had been acquitted by the learned trial Court and on the strength of identical evidence the appellant has been convicted and sentenced, without independent and strong corroboratory evidence brought against him....","Main Qatar GUL Kazakh, learned counsel representing the appellant argued that on the same set of evidence, five co - accused had been acquitted by the learned trial Court and on the strength of identical evidence the appellant has been convicted and sentenced, without independent and strong corroboratory evidence brought against him...."
Copy of JUDG__8,"Appeal No.51 of 2024 and Crl. The Trial Court is directed to decide the case within the period of three 03 months, positively. JUSTICE DR. SYED MUHAMMAD ANWER JUDGE JUSTICE IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE JUSTICE AMEER MUHAMMAD KHAN JUDGE Announced in Open Court on 30.05.2025, at Islamabad. Khalid","Appeal No.51 of 2024 and CRL. The Trial Court is directed to decide the case within the period of three 03 months, positively. JUSTICE DR. SYED MUHAMMAD ANSWER JUDGE JUSTICE IQBAL HAMMER RAHMAN CHIEF JUSTICE AMBER MUHAMMAD KHAN JUDGE Announced in Open Court on 30.05.2025, at Islamabad. Khalid"
Copy of JUDG__30,ploy dyle dhl pe. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE JUSTICE KHADIM HUSSAIN M. SHAIKH JUDGE Khalid APPROVED FOR REPORTING. JUSTICE DR. SYED MUHAMMAD ANWER ACTING CHIEF JUSTICE,Ploy Dale DHL pe. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE KARIM HUSSAIN M. SHAIKH JUDGE Khalid APPROVED FOR REPORTING. JUSTICE DR. SYED MUHAMMAD ANSWER ACTING CHIEF JUSTICE
Copy of JUDG__18,"Tahira Bibi, Muhammad Kashif and his brother Rashid Ali were again conducted but again its report came negative . IQBAL HAMEEDUR RAHMAN CHIEF JUSTICE DR. SYED MUHAMMAD ANWER JUDGE Dated 29.02.2024 Ajmal Approved for reporting. CHIEF JUSTICE","Third Bibi, Muhammad Kashmir and his brother Rashid Ali were again conducted but again its report came negative. IQBAL HAMMER RAHMAN CHIEF JUSTICE DR. SYED MUHAMMAD ANSWER JUDGE Dated 29.02.2024 Akmal Approved for reporting. CHIEF JUSTICE"
Copy of JUDG__55,"vide order dated 19.04.2010. 7. Appeal No.05-K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting de-novo proceedings after framing of charge. 8. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR...","Vide order dated 19.04.2010. 7. Appeal No.05 - K of 2018 before this Court and after hearing the said appeal vide judgment dated 10.10.2019, the case was remanded back by this Court to the learned Trial Court for conducting Lenovo proceedings after framing of charge. 8. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR..."
Copy of JUDG__71,He recorded the statements of witnesses under Section 161 Cr.P.C. accused Muhammad Fazil showed his willingness to sleep in the room of the complainantdeceased. SYED MUHAMMAD ANWER JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Announced in Open Court On 30.04.2021 at Islamabad. Mubashir,He recorded the statements of witnesses under Section 161 Cr. P.C. accused Muhammad Fail showed his willingness to sleep in the room of the complainant deceased. SYED MUHAMMAD ANSWER JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE Announced in Open Court On 30.04.2021 at Islamabad. Bashir
Copy of JUDG__31,"That pursuant to hearing the arguments of the petitioner at length, we had dismissed the petition in hand vide our short order dated 19.09.2023. In following Hadith, an incident of Habibah bint Sahl RA, who was another wife of Thabit bin Qais RA is narrated, which is also reported in...","That pursuant to hearing the arguments of the petitioner at length, we had dismissed the petition in hand vide our short order dated 19.09.2023. In following Hadith, an incident of Habitat bit Sail RA, who was another wife of Habit bin Dais RA is narrated, which is also reported in..."
Copy of JUDG__86,Khadim Sheedi fired from his pistol at my brother Uris as a result thereof he fell down on the ground. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE,Karim Speed fired from his pistol at my brother Uri 's as a result thereof he fell down on the ground. JUSTICE MUHAMMAD NOOR MESKANZAI CHIEF JUSTICE
Copy of JUDG__41,"Since the impugned judgment has been set aside, therefore, the Revision petition No.2P of 2020 filed by the complainant has become infructuous. The penultimate paragraphs of the said judgment for the sake of convenience are reproduced here 10.","Since the impugned judgment has been set aside, therefore, the Revision petition No.2P of 2020 filed by the complainant has become unfructuous. The penultimate paragraphs of the said judgment for the sake of convenience are reproduced here 10."
